,0
reviewLength,1113.3891664064938
overall,3.9989072744302216
reviewLength,1407.308086433504
overall,3.948540877701047
reviewLength,1219.4713618273058
overall,3.971102266828171
reviewLength,485.3156948473828
overall,4.280676664078781
reviewLength,427.43586215932913
overall,4.27122641509434
reviewLength,858.7477981556316
overall,4.106621075536214
reviewLength,1358.569923932124
overall,3.9710356933879463
reviewLength,1239.4075032341527
overall,4.016494178525226
reviewLength,1188.9860287891618
overall,4.023285351397121
reviewLength,1192.6531523793162
overall,4.007215255110806
reviewLength,1235.2543968733346
overall,3.9914727305027538
reviewLength,1476.879859278804
overall,3.970976253298153
reviewLength,1400.0932721712538
overall,3.9761085626911314
reviewLength,1208.3074675324676
overall,4.056168831168831
reviewLength,969.7461187214612
overall,4.070319634703196
reviewLength,791.6579572446556
overall,3.973871733966746
reviewLength,621.0416666666666
overall,4.416666666666667
